"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Haben Sie schon einmal mit einem Unternehmen in Social Media interagiert? ","Bitte bewerten Sie die folgende Aussage. [Mir ist es wichtig, mit Unternehmen in Social Media interagieren zu können.]","Kennen Sie das Fediverse?","Nutzen Sie das Fediverse? ","Wofür nutzen Sie das Fediverse?    [Mit Freunden und Familie in Kontakt bleiben]","Wofür nutzen Sie das Fediverse?    [Neue Stories lesen]","Wofür nutzen Sie das Fediverse?    [Auffinden von Content]","Wofür nutzen Sie das Fediverse?    [Diskussionsthemen finden]","Wofür nutzen Sie das Fediverse?    [Unternehmungen finden]","Wofür nutzen Sie das Fediverse?    [Produkte finden]","Wofür nutzen Sie das Fediverse?    [Teilen und Diskutieren von Meinungen]","Wofür nutzen Sie das Fediverse?    [Neue Kontakte knüpfen]","Wofür nutzen Sie das Fediverse?    [Arbeitsbezogenes Networking oder Nachforschen]","Wofür nutzen Sie das Fediverse?    [Berühmten Persönlichkeiten oder Influencern folgen]","Wofür nutzen Sie das Fediverse?    [Posts über das eigene Leben verfassen]","Weshalb nutzen Sie das Fediverse nicht?  [Kein Interesse]","Weshalb nutzen Sie das Fediverse nicht?  [Zu kompliziert]","Weshalb nutzen Sie das Fediverse nicht?  [Die Plattformen gefallen mir nicht]","Weshalb nutzen Sie das Fediverse nicht?  [Mir fehlen Funktionen]","Weshalb nutzen Sie das Fediverse nicht?  [Zu wenig Nutzer]","Weshalb nutzen Sie das Fediverse nicht?  [Ich finde keinen passenden Content]","Weshalb nutzen Sie das Fediverse nicht?  [Sicherheitsbedenken]","Weshalb nutzen Sie das Fediverse nicht?  [Datenschutzbedenken]","Weshalb nutzen Sie das Fediverse nicht?  [Noch nicht eingehend damit beschäftigt]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass größere Transparenz bei der Anwendung, den Protokollen und dem Datenaustausch gegeben ist.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bevorzuge eine Plattform, bei der Daten und Kontrolle auf viele verschiedene Gruppen verteilt sind, anstatt eine Plattform, bei der alles von einer einzigen Organisation kontrolliert wird.]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass hohe Datenschutzstandards eingehalten werden.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bevorzuge einen Account für alle Plattformen, statt je Plattform einen eigenen Account zu haben.]","Bewerten Sie bitte die folgenden Aussagen. [Social-Media-Plattformen sollten durch den Verkauf von Nutzerdaten oder Werbung monetarisiert werden.]","Bewerten Sie bitte die folgenden Aussagen. [Dem Einsatz von algorithmischen Ranking-Systemen zur Priorisierung von Content stehe ich positiv gegenüber.]","Bewerten Sie bitte die folgenden Aussagen. [Ich stehe Unternehmen positiv gegenüber, die auf Social Media Marketing, Verkauf und Service anbieten.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bewerte die Übernahmemöglichkeit von Social-Media-Plattformen durch andere Unternehmen als positiv.]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass politische Unabhängigkeit und Neutralität gegeben sind.]","Wie wünschenswert ist es Ihrer Meinung nach, dass im Fediverse mehr Unternehmen repräsentiert sind, um mit Ihnen zu interagieren?","Wie alt sind Sie?","Welchem Geschlecht fühlen Sie sich zugehörig? ","Was ist derzeitiger Berufsstatus?"
"1","1980-01-01 00:00:00","6","de","38546296","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L6","L7","L6","L7","L2","L4","L6","L4","L6","LUF4","DEM13","80437","DEM37"
"2","","","de","162215544","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","1980-01-01 00:00:00","6","de","2109968150","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L4","L4","L5","L2","L4","L6","L2","L4","L6","LUF4","DEM14","33840","DEM32"
"4","1980-01-01 00:00:00","6","de","16287320","1","A2","2","","","","","","","","","","","","","","","","","","","","","","L4","L2","L5","L3","L5","L5","L4","L5","L4","LUF5","DEM12","33840","DEM31"
"5","","3","de","1330777559","1","A3","2","","","","","","","","","","","","","","","","","","","","","","L4","L4","L4","L4","","","","","","","","",""
"6","","","de","1802337836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","","de","1238501288","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","2","de","250705636","1","A2","1","2","","","","","","","","","","","","1","0","0","0","1","0","0","0","1","","","","","","","","","","","","",""
"9","1980-01-01 00:00:00","6","de","1303618931","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L5","L5","L6","L2","L1","L5","L4","L1","L5","LUF5","DEM13","33840","DEM31"
"10","","3","de","2019678723","2","A2","1","2","","","","","","","","","","","","0","1","0","0","0","1","0","0","1","L6","L4","L6","L7","","","","","","","","",""
"11","","2","de","856671358","1","A6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","2","de","2104101786","1","A7","1","2","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","",""
"13","","1","de","20139159","1","A6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","1980-01-01 00:00:00","6","de","1316207226","1","A1","2","","","","","","","","","","","","","","","","","","","","","","L6","L6","L7","L5","L1","L1","L1","L1","L7","LUF4","DEM13","33840","DEM32"
"15","1980-01-01 00:00:00","6","de","166277162","1","A1","2","","","","","","","","","","","","","","","","","","","","","","L7","L6","L7","L7","L4","L4","L4","L5","L5","LUF4","DEM13","52971","DEM37"
"16","","2","de","263557246","1","A5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","1980-01-01 00:00:00","6","de","424954869","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L5","L6","L5","L3","L1","L4","L6","L3","L5","LUF4","DEM12","47169","DEM31"
"18","1980-01-01 00:00:00","6","de","228750322","2","A7","2","","","","","","","","","","","","","","","","","","","","","","L6","L6","L7","L6","L6","L5","L7","L6","L4","LUF5","DEM13","47169","DEM37"
"19","1980-01-01 00:00:00","6","de","1352021569","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L5","L3","L7","L1","L1","L3","L6","L4","L6","LUF3","DEM16","47169","DEM32"
"20","1980-01-01 00:00:00","6","de","711479955","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L5","L4","L6","L7","L1","L3","L7","L6","L7","LUF1","DEM13","47169","DEM32"
"21","1980-01-01 00:00:00","6","de","1209127316","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L6","L6","L7","L6","L2","L2","L3","L2","L6","LUF3","DEM15","33840","DEM33"
